ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName
820,Phong,NA,19.9622,104.088,phon1246,pnx,aust1305,Austroasiatic
825,Kha Poong,NA,NA,NA,khap1242,pkt,aust1305,Austroasiatic
826,Malieng,NA,NA,NA,mali1278,scb,aust1305,Austroasiatic
829,Nyakur,NA,15.8909,101.515,nyah1250,cbn,aust1305,Austroasiatic
832,Kasong,NA,11.936,104.136,suoy1242,syo,aust1305,Austroasiatic
833,Samre,NA,13.479,103.978,samr1245,sxm,book1242,Bookkeeping
834,Chong,NA,12.5218,102.514,chon1284,cog,aust1305,Austroasiatic
836,Surin Khmer,NA,NA,NA,suri1265,kxm,aust1305,Austroasiatic
26,Avar (Batlukh dialect),NA,42.5,46.5,batl1238,ava,nakh1245,Nakh-Daghestanian
60,Dargwa (Khajdak dialect),NA,42.25,47.4166666667,kajt1238,dar,nakh1245,Nakh-Daghestanian
174,De'kwana,NA,4.70705,-64.3877,maqu1238,mch,cari1283,Cariban
220,Hausa,NA,11.1513,8.7804,haus1257,hau,afro1255,Afro-Asiatic
221,Polci,NA,10.0258,9.53362,polc1243,plj,afro1255,Afro-Asiatic
222,Nahuatl (Sierra de Zacapoaxtla variety),NA,20.1554,-97.5556,high1278,azz,utoa1244,Uto-Aztecan
223,Chatino (Zacatepec variety),NA,16.08,-97.3069,zaca1242,ctz,otom1299,Otomanguean
224,Karok,NA,41.8228,-123.315,karo1304,kyh,karo1304,Karok
225,Seri,NA,28.9877,-112.384,seri1257,sei,seri1257,Seri
230,Nuu-chah-nulth,NA,50.1666666667,-127.166666667,nuuc1236,nuk,waka1280,Wakashan
231,Bella Coola,NA,52.3448,-126.689,bell1243,blc,sali1255,Salishan
243,Muisca,NA,6.24999,-74.1666,chib1270,chb,chib1249,Chibchan
246,Colorado,NA,-0.21181,-79.2347,colo1256,cof,barb1265,Barbacoan
255,Waorani,NA,-1.12312,-76.683,waor1240,auc,waor1240,Waorani
262,Goajiro,NA,10.2252,-71.8101,wayu1243,guc,araw1281,Arawakan
263,Ignaciano,NA,-15.1188,-65.3993,igna1246,ign,araw1281,Arawakan
265,Trinitario,NA,-15.3331,-65.4096,trin1274,trn,araw1281,Arawakan
268,Yavitero,NA,2.800281,-68.084219,yavi1244,yvt,araw1281,Arawakan
269,Aymara,NA,-17,-68.5,cent2142,ayr,ayma1253,Aymaran
270,Chipaya,NA,-18.7395,-67.8963,chip1262,cap,uruc1242,Uru-Chipaya
271,Mosetén,NA,-14.6445,-67.8376,mose1249,cas,mose1249,Mosetén-Chimané
272,Araona,NA,-12.4242,-67.7293,arao1248,aro,pano1259,Pano-Tacanan
273,Cavineña,NA,-13.3544,-66.6277,cavi1250,cav,pano1259,Pano-Tacanan
274,Ese Ejja,NA,-11.7268,-67.515,esee1248,ese,pano1259,Pano-Tacanan
279,Chácobo,NA,-12.133,-66.7164,chac1251,cao,pano1259,Pano-Tacanan
281,Shipibo-Conibo,NA,-7.17105,-74.8219,ship1254,shp,pano1259,Pano-Tacanan
282,Yaminahua,NA,-9.8846,-71.5964,yami1256,yaa,pano1259,Pano-Tacanan
283,Cayuvava,NA,-13.2482,-65.4822,cayu1262,cyb,cayu1262,Cayubaba
287,Mundurukú,NA,-8.41095,-57.691,mund1330,myu,tupi1275,Tupian
291,Sirionó,NA,-15.5298,-63.9688,siri1273,srq,tupi1275,Tupian
295,Karajá,NA,-11.1881,-50.3492,kara1500,kpj,nucl1710,Nuclear-Macro-Je
296,Trumai,NA,-11.8119,-53.5717,trum1247,tpy,trum1247,Trumai
308,Kunza,NA,-23,-69,kunz1244,kuz,kunz1244,Kunza
310,Tehuelche,NA,-47.5796,-68.3235,tehu1242,teh,chon1288,Chonan
315,Yagán,NA,-55.2748,-68.2648,yama1264,yag,yama1264,Yámana
408,Tai Khün,NA,19.6062,99.3363,khun1259,kkh,taik1256,Tai-Kadai
410,Shan (Northern Shan dialect),NA,21.5995,98.0342,shan1277,shn,taik1256,Tai-Kadai
414,Zhuang-Longzhou,NA,21.8375,107.362,zuoj1238,zzj,taik1256,Tai-Kadai
502,Chamalal (Gigatli dialect),NA,42.55,46.05,giga1238,cji,nakh1245,Nakh-Daghestanian
524,Lak (Arakul dialect),NA,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh-Daghestanian
704,Mahasu Pahari (Kotghari dialect),NA,31.0088,77.5317,maha1287,bfz,indo1319,Indo-European
709,Telugu,NA,16.4529,78.7024,telu1262,tel,drav1251,Dravidian
830,Pear,NA,13.593,105.028,pear1247,pcb,aust1305,Austroasiatic
227,Northern Haida,NA,54.6931,-132.465,nort2938,hdn,haid1248,Haida
236,Maori,NA,-38.2881,176.541,maor1246,mri,aust1307,Austronesian
241,Tuamotuan,NA,-21.709,-140.658,tuam1242,pmt,aust1307,Austronesian
250,Yuwana,NA,5.63879,-65.4267,yuwa1244,yau,jodi1234,Jodi-Saliban
284,Itonama,NA,-12.8043,-64.3575,iton1250,ito,iton1250,Itonama
294,Kaingáng,NA,-27.7671,-52.5394,kain1272,kgp,nucl1710,Nuclear-Macro-Je
305,Maca,NA,-25.0119,-57.3694,maca1260,mca,mata1289,Matacoan
411,Nung-Fengshan,NA,23.6818,107.184,guib1244,zgn,taik1256,Tai-Kadai
413,Nung-Ninbei,NA,20.8965,104.286,nung1283,nut,taik1256,Tai-Kadai
421,Hlai (Baoting variety),NA,18.8062,109.459,hlai1239,lic,taik1256,Tai-Kadai
424,Sanchong Kelao,NA,22.5632,104.698,gree1278,giq,taik1256,Tai-Kadai
511,Dargwa (Sirkhi dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
519,Kumyk (Dorgeli dialect),NA,43,47,kumy1244,kum,turk1311,Turkic
520,Kumyk (Kajtak Tumenler dialect),NA,43,47,kumy1244,kum,turk1311,Turkic
521,Kumyk (Kajtak dialect),NA,43,47,kumy1244,kum,turk1311,Turkic
804,Keme (Kemie variety),NA,22.0743,100.842,manm1238,mml,aust1305,Austroasiatic
810,Pusing,NA,21.3474,101.916,bitt1240,bgk,aust1305,Austroasiatic
838,Iduh,NA,19.3497,104.106,oduu1239,tyh,aust1305,Austroasiatic
229,Tsimshian,NA,54.6214,-130.496,nucl1649,tsi,tsim1258,Tsimshian
237,Marquesan,NA,-9.75663,-138.979,sout2866,mqm,aust1307,Austronesian
256,Siona,NA,0.31733,-76.0237,sion1247,snn,tuca1253,Tucanoan
412,Nung-Lazhai,NA,23.6818,107.184,guib1244,zgn,taik1256,Tai-Kadai
420,Lakkia,NA,24.1169,110.106,lakk1238,lbc,taik1256,Tai-Kadai
422,Langja Buyang,NA,23.0105,104.449,emab1235,yzg,taik1256,Tai-Kadai
423,Ecun Buyang,NA,23.0105,104.449,lang1316,yln,taik1256,Tai-Kadai
425,Qau Kelao,NA,26.155438,106.16455,qaua1234,gqu,taik1256,Tai-Kadai
710,Tibetan,NA,28.3681,90.1872,tibe1272,bod,sino1245,Sino-Tibetan
801,Bulang,NA,22.0092,99.7405,blan1242,blr,aust1305,Austroasiatic
802,Bulang-2,NA,22.0092,99.7405,blan1242,blr,aust1305,Austroasiatic
803,Bulang-3,NA,22.0092,99.7405,blan1242,blr,aust1305,Austroasiatic
805,Xu,NA,22.0163,100.881,huuu1240,huo,aust1305,Austroasiatic
808,Rumai,NA,23.6404,97.3172,ruma1248,rbb,aust1305,Austroasiatic
814,Mlabri,NA,18.5533,101.163,mlab1235,mra,aust1305,Austroasiatic
822,Tum,NA,NA,NA,cuoi1242,hnu,aust1305,Austroasiatic
827,Ahlao Th,NA,17.7655,104.229,aheu1239,thm,aust1305,Austroasiatic
839,Mang Ch,NA,21.4305,102.133,mang1378,zng,aust1305,Austroasiatic
228,Tlingit,NA,59.4447,-135.29,tlin1245,tli,atha1245,Athabaskan-Eyak-Tlingit
247,Embera,NA,7.12761,-77.574,nort2972,emp,choc1280,Chocoan
276,Tacana,NA,-13.3925,-68.0406,taca1256,tna,pano1259,Pano-Tacanan
277,Cashibo,NA,-8.70232,-75.4206,cash1251,cbr,pano1259,Pano-Tacanan
312,Gününa Küne,NA,-36.6376,-62.9413,puel1244,pue,puel1244,Puelche
313,Qawasqar,NA,-49.703,-75.3756,qawa1238,alc,kawe1237,Kawesqar
213,Avestan,NA,31.541,53.633,aves1237,ave,indo1319,Indo-European
407,Tai Lü,NA,21.0321,101.282,luuu1242,khb,taik1256,Tai-Kadai
232,Upper Chehalis,NA,46.7981,-123.169,uppe1439,cjh,sali1255,Salishan
275,Ese Ejja (Huarayo),NA,-11.7268,-67.515,esee1248,ese,pano1259,Pano-Tacanan
405,Dehong,NA,21.7837,99.722,tain1252,tdd,taik1256,Tai-Kadai
293,Canela,NA,-6.10712,-45.1299,cane1242,ram,nucl1710,Nuclear-Macro-Je
261,Baure,NA,-13.1278,-64.1838,baur1253,brg,araw1281,Arawakan
242,Barí,NA,9.08497,-72.9353,bari1297,mot,chib1249,Chibchan
264,Mashco Piro,NA,-11.4745,-70.7953,mash1270,cuj,araw1281,Arawakan
286,Pacaas Novos,NA,-10.6995,-64.5615,wari1268,pav,chap1271,Chapacuran
817,Hanoi Vn,NA,10.5,106.5,nort2683,vie,aust1305,Austroasiatic
319,Ossetic,NA,41.7882,43.2674,osse1243,oss,indo1319,Indo-European
170,Italian,NA,43.0464,12.6489,ital1282,ita,indo1319,Indo-European
171,French,NA,48,2,stan1290,fra,indo1319,Indo-European
177,Catalan,NA,41.8983,3.39375,stan1289,cat,indo1319,Indo-European
178,Portuguese,NA,39.91,-8.1,port1283,por,indo1319,Indo-European
179,Romanian,NA,46.3913,24.2256,roma1327,ron,indo1319,Indo-European
187,Swedish,NA,59.800634,17.389526,swed1254,swe,indo1319,Indo-European
191,Dutch,NA,52,5,dutc1256,nld,indo1319,Indo-European
194,German,NA,48.649,12.4676,stan1295,deu,indo1319,Indo-European
203,Polish,NA,51.8439,18.6255,poli1260,pol,indo1319,Indo-European
186,Danish,NA,54.8655,9.36284,dani1285,dan,indo1319,Indo-European
190,English,NA,53,-1,stan1293,eng,indo1319,Indo-European
