Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon
ättling,StandardOrth,NA,NA,Swedish,offspring (son or daughter),Person/Thing,NA
offspring,StandardOrth,NA,NA,English,offspring (son or daughter),Person/Thing,NA
kind,StandardOrth,NA,NA,Dutch,offspring (son or daughter),Person/Thing,NA
Kind,StandardOrth,NA,Original (M. R. Key),German,offspring (son or daughter),Person/Thing,FALSE
potomstwo,StandardOrth,NA,NA,Polish,offspring (son or daughter),Person/Thing,NA
чызг,CyrillTrans,NA,NA,Ossetic,daughter,Person/Thing,NA
figlia,StandardOrth,NA,NA,Italian,daughter,Person/Thing,NA
fille,StandardOrth,NA,NA,French,daughter,Person/Thing,NA
filla,StandardOrth,NA,NA,Catalan,daughter,Person/Thing,NA
filha,StandardOrth,NA,NA,Portuguese,daughter,Person/Thing,NA
fĭcă,StandardOrth,NA,NA,Romanian,daughter,Person/Thing,NA
datter,StandardOrth,NA,NA,Danish,daughter,Person/Thing,NA
dotter,StandardOrth,NA,NA,Swedish,daughter,Person/Thing,NA
daughter,StandardOrth,NA,NA,English,daughter,Person/Thing,NA
dochter,StandardOrth,NA,NA,Dutch,daughter,Person/Thing,NA
Tochter,StandardOrth,NA,Original (M. R. Key),German,daughter,Person/Thing,FALSE
córka,StandardOrth,NA,NA,Polish,daughter,Person/Thing,NA
фырт,CyrillTrans,NA,NA,Ossetic,son,Person/Thing,NA
лæппу,CyrillTrans,NA,NA,Ossetic,son,Person/Thing,NA
figlio,StandardOrth,NA,NA,Italian,son,Person/Thing,NA
fils,StandardOrth,NA,NA,French,son,Person/Thing,NA
fill,StandardOrth,NA,NA,Catalan,son,Person/Thing,NA
filho,StandardOrth,NA,NA,Portuguese,son,Person/Thing,NA
fiu,StandardOrth,NA,NA,Romanian,son,Person/Thing,NA
søn,StandardOrth,NA,NA,Danish,son,Person/Thing,NA
son,StandardOrth,NA,NA,Swedish,son,Person/Thing,NA
son,StandardOrth,NA,NA,English,son,Person/Thing,NA
zoon,StandardOrth,NA,NA,Dutch,son,Person/Thing,NA
Sohn,StandardOrth,NA,Original (M. R. Key),German,son,Person/Thing,FALSE
syn,StandardOrth,NA,NA,Polish,son,Person/Thing,NA
чындзыцыд,CyrillTrans,NA,NA,Ossetic,married woman,Person/Thing,NA
мойджын,CyrillTrans,NA,NA,Ossetic,married woman,Person/Thing,NA
donna sposata,StandardOrth,NA,NA,Italian,married woman,Person/Thing,NA
femme mariée,StandardOrth,NA,NA,French,married woman,Person/Thing,NA
dona casada,StandardOrth,NA,NA,Catalan,married woman,Person/Thing,NA
casada,StandardOrth,NA,NA,Portuguese,married woman,Person/Thing,NA
gift kvinde,StandardOrth,NA,NA,Danish,married woman,Person/Thing,NA
gift kvinna,StandardOrth,NA,NA,Swedish,married woman,Person/Thing,NA
married woman,StandardOrth,NA,NA,English,married woman,Person/Thing,NA
getrouwde vrouw,StandardOrth,NA,NA,Dutch,married woman,Person/Thing,NA
Ehefrau,StandardOrth,NA,Original (M. R. Key),German,married woman,Person/Thing,FALSE
verheiratete Frau,StandardOrth,NA,Original (M. R. Key),German,married woman,Person/Thing,FALSE
mężatka,StandardOrth,NA,NA,Polish,married woman,Person/Thing,NA
kobieta zamężna,StandardOrth,NA,NA,Polish,married woman,Person/Thing,NA
усджын,CyrillTrans,NA,NA,Ossetic,married man,Person/Thing,NA
uomo sposato,StandardOrth,NA,NA,Italian,married man,Person/Thing,NA
homme marié,StandardOrth,NA,NA,French,married man,Person/Thing,NA
home casat,StandardOrth,NA,NA,Catalan,married man,Person/Thing,NA
casado,StandardOrth,NA,NA,Portuguese,married man,Person/Thing,NA
gift mand,StandardOrth,NA,NA,Danish,married man,Person/Thing,NA
gift man,StandardOrth,NA,NA,Swedish,married man,Person/Thing,NA
married man,StandardOrth,NA,NA,English,married man,Person/Thing,NA
getrouwde man,StandardOrth,NA,NA,Dutch,married man,Person/Thing,NA
Ehemann,StandardOrth,NA,Original (M. R. Key),German,married man,Person/Thing,FALSE
verheirateter Mann,StandardOrth,NA,Original (M. R. Key),German,married man,Person/Thing,FALSE
żonaty mężczyzna,StandardOrth,NA,NA,Polish,married man,Person/Thing,NA
żonkoś,StandardOrth,NA,NA,Polish,married man,Person/Thing,NA
ныййарджытæ,CyrillTrans,NA,NA,Ossetic,parents,Person/Thing,NA
genitori,StandardOrth,NA,NA,Italian,parents,Person/Thing,NA
parents,StandardOrth,NA,NA,French,parents,Person/Thing,NA
pares,StandardOrth,NA,NA,Catalan,parents,Person/Thing,NA
pais,StandardOrth,NA,NA,Portuguese,parents,Person/Thing,NA
părinţĭ,StandardOrth,NA,NA,Romanian,parents,Person/Thing,NA
forældre,StandardOrth,NA,NA,Danish,parents,Person/Thing,NA
för-äldrar,StandardOrth,NA,NA,Swedish,parents,Person/Thing,NA
parents,StandardOrth,NA,NA,English,parents,Person/Thing,NA
ouders,StandardOrth,NA,NA,Dutch,parents,Person/Thing,NA
Eltern,StandardOrth,NA,Original (M. R. Key),German,parents,Person/Thing,FALSE
rodzice,StandardOrth,NA,NA,Polish,parents,Person/Thing,NA
rodziciele,StandardOrth,NA,NA,Polish,parents,Person/Thing,NA
мад,CyrillTrans,NA,NA,Ossetic,mother,Person/Thing,NA
madre,StandardOrth,NA,NA,Italian,mother,Person/Thing,NA
mère,StandardOrth,NA,NA,French,mother,Person/Thing,NA
mare,StandardOrth,NA,NA,Catalan,mother,Person/Thing,NA
mãe,StandardOrth,NA,NA,Portuguese,mother,Person/Thing,NA
mamă,StandardOrth,NA,NA,Romanian,mother,Person/Thing,NA
moder,StandardOrth,NA,NA,Danish,mother,Person/Thing,NA
mor,StandardOrth,NA,NA,Danish,mother,Person/Thing,NA
moder,StandardOrth,NA,NA,Swedish,mother,Person/Thing,NA
mor,StandardOrth,NA,NA,Swedish,mother,Person/Thing,NA
mother,StandardOrth,NA,NA,English,mother,Person/Thing,NA
moeder,StandardOrth,NA,NA,Dutch,mother,Person/Thing,NA
Mutter,StandardOrth,NA,Original (M. R. Key),German,mother,Person/Thing,FALSE
matka (mać),StandardOrth,NA,NA,Polish,mother,Person/Thing,NA
фыд,CyrillTrans,NA,NA,Ossetic,father,Person/Thing,NA
padre,StandardOrth,NA,NA,Italian,father,Person/Thing,NA
père,StandardOrth,NA,NA,French,father,Person/Thing,NA
pare,StandardOrth,NA,NA,Catalan,father,Person/Thing,NA
pai,StandardOrth,NA,NA,Portuguese,father,Person/Thing,NA
tată,StandardOrth,NA,NA,Romanian,father,Person/Thing,NA
fader,StandardOrth,NA,NA,Danish,father,Person/Thing,NA
far,StandardOrth,NA,NA,Danish,father,Person/Thing,NA
fader,StandardOrth,NA,NA,Swedish,father,Person/Thing,NA
far,StandardOrth,NA,NA,Swedish,father,Person/Thing,NA
father,StandardOrth,NA,NA,English,father,Person/Thing,NA
vader,StandardOrth,NA,NA,Dutch,father,Person/Thing,NA
Vater,StandardOrth,NA,Original (M. R. Key),German,father,Person/Thing,FALSE
ojciec,StandardOrth,NA,NA,Polish,father,Person/Thing,NA
усы ауагъд,CyrillTrans,NA,NA,Ossetic,divorce,Person/Thing,NA
ахицæн,CyrillTrans,NA,NA,Ossetic,divorce,Person/Thing,NA
толахъ,CyrillTrans,NA,NA,Ossetic,divorce,Person/Thing,NA
divorzio,StandardOrth,NA,NA,Italian,divorce,Person/Thing,NA
divorce,StandardOrth,NA,NA,French,divorce,Person/Thing,NA
divorci,StandardOrth,NA,NA,Catalan,divorce,Person/Thing,NA
divórcio,StandardOrth,NA,NA,Portuguese,divorce,Person/Thing,NA
skilsmisse,StandardOrth,NA,NA,Danish,divorce,Person/Thing,NA
skils-mässa,StandardOrth,NA,NA,Swedish,divorce,Person/Thing,NA
divorce,StandardOrth,NA,NA,English,divorce,Person/Thing,NA
echtscheiding,StandardOrth,NA,NA,Dutch,divorce,Person/Thing,NA
Scheidung,StandardOrth,NA,Original (M. R. Key),German,divorce,Person/Thing,FALSE
Ehescheidung,StandardOrth,NA,Original (M. R. Key),German,divorce,Person/Thing,FALSE
rozwód,StandardOrth,NA,NA,Polish,divorce,Person/Thing,NA
чындзæхсæв,CyrillTrans,NA,NA,Ossetic,"marriage, wedding",Person/Thing,NA
къайад,CyrillTrans,NA,NA,Ossetic,"marriage, wedding",Person/Thing,NA
æмкъайад,CyrillTrans,NA,NA,Ossetic,"marriage, wedding",Person/Thing,NA
nozze,StandardOrth,NA,NA,Italian,"marriage, wedding",Person/Thing,NA
mariage,StandardOrth,NA,NA,French,"marriage, wedding",Person/Thing,NA
noces,StandardOrth,NA,NA,French,"marriage, wedding",Person/Thing,NA
casament,StandardOrth,NA,NA,Catalan,"marriage, wedding",Person/Thing,NA
boda,StandardOrth,NA,NA,Catalan,"marriage, wedding",Person/Thing,NA
matrimônio,StandardOrth,NA,NA,Portuguese,"marriage, wedding",Person/Thing,NA
casamento,StandardOrth,NA,NA,Portuguese,"marriage, wedding",Person/Thing,NA
căsatorie,StandardOrth,NA,NA,Romanian,"marriage, wedding",Person/Thing,NA
nuntă,StandardOrth,NA,NA,Romanian,"marriage, wedding",Person/Thing,NA
giftermål,StandardOrth,NA,NA,Danish,"marriage, wedding",Person/Thing,NA
bryllup,StandardOrth,NA,NA,Danish,"marriage, wedding",Person/Thing,NA
gifter-mål,StandardOrth,NA,NA,Swedish,"marriage, wedding",Person/Thing,NA
äkten-skap,StandardOrth,NA,NA,Swedish,"marriage, wedding",Person/Thing,NA
bröllop,StandardOrth,NA,NA,Swedish,"marriage, wedding",Person/Thing,NA
marriage,StandardOrth,NA,NA,English,"marriage, wedding",Person/Thing,NA
wedding,StandardOrth,NA,NA,English,"marriage, wedding",Person/Thing,NA
huwelijk,StandardOrth,NA,NA,Dutch,"marriage, wedding",Person/Thing,NA
echt,StandardOrth,NA,NA,Dutch,"marriage, wedding",Person/Thing,NA
bruiloft,StandardOrth,NA,NA,Dutch,"marriage, wedding",Person/Thing,NA
Heirat,StandardOrth,NA,Original (M. R. Key),German,"marriage, wedding",Person/Thing,FALSE
Ehe,StandardOrth,NA,Original (M. R. Key),German,"marriage, wedding",Person/Thing,FALSE
Hochzeit,StandardOrth,NA,Original (M. R. Key),German,"marriage, wedding",Person/Thing,FALSE
małżeństwo,StandardOrth,NA,NA,Polish,"marriage, wedding",Person/Thing,NA
ślub,StandardOrth,NA,NA,Polish,"marriage, wedding",Person/Thing,NA
wesele,StandardOrth,NA,NA,Polish,"marriage, wedding",Person/Thing,NA
ус æрхæссын,CyrillTrans,NA,NA,Ossetic,marry,Action/Process,NA
ус ракурын,CyrillTrans,NA,NA,Ossetic,marry,Action/Process,NA
мой скæнын,CyrillTrans,NA,NA,Ossetic,marry,Action/Process,NA
чындзы фæцæуын,CyrillTrans,NA,NA,Ossetic,marry,Action/Process,NA
моймæ фæцæуын,CyrillTrans,NA,NA,Ossetic,marry,Action/Process,NA
sposarsi,StandardOrth,NA,NA,Italian,marry,Action/Process,NA
se marier,StandardOrth,NA,NA,French,marry,Action/Process,NA
épouser,StandardOrth,NA,NA,French,marry,Action/Process,NA
casar-se,StandardOrth,NA,NA,Catalan,marry,Action/Process,NA
casar,StandardOrth,NA,NA,Portuguese,marry,Action/Process,NA
se căsători,StandardOrth,NA,NA,Romanian,marry,Action/Process,NA
se însura,StandardOrth,NA,NA,Romanian,marry,Action/Process,NA
se mărita,StandardOrth,NA,NA,Romanian,marry,Action/Process,NA
gifte sig,StandardOrth,NA,NA,Danish,marry,Action/Process,NA
gifta sig,StandardOrth,NA,NA,Swedish,marry,Action/Process,NA
äkta,StandardOrth,NA,NA,Swedish,marry,Action/Process,NA
marry,StandardOrth,NA,NA,English,marry,Action/Process,NA
trouwen,StandardOrth,NA,NA,Dutch,marry,Action/Process,NA
huwen,StandardOrth,NA,NA,Dutch,marry,Action/Process,NA
heiraten,StandardOrth,NA,Original (M. R. Key),German,marry,Action/Process,FALSE
(o)żenić się,StandardOrth,NA,NA,Polish,marry,Action/Process,NA
wyjść za mąż,StandardOrth,NA,NA,Polish,marry,Action/Process,NA
бинойнаг,CyrillTrans,NA,NA,Ossetic,wife,Person/Thing,NA
ус (супруга),CyrillTrans,NA,NA,Ossetic,wife,Person/Thing,NA
moglie,StandardOrth,NA,NA,Italian,wife,Person/Thing,NA
femme,StandardOrth,NA,NA,French,wife,Person/Thing,NA
épouse,StandardOrth,NA,NA,French,wife,Person/Thing,NA
muller,StandardOrth,NA,NA,Catalan,wife,Person/Thing,NA
esposa,StandardOrth,NA,NA,Catalan,wife,Person/Thing,NA
esposa,StandardOrth,NA,NA,Portuguese,wife,Person/Thing,NA
mulher,StandardOrth,NA,NA,Portuguese,wife,Person/Thing,NA
soţie,StandardOrth,NA,NA,Romanian,wife,Person/Thing,NA
nevastă,StandardOrth,NA,NA,Romanian,wife,Person/Thing,NA
kone,StandardOrth,NA,NA,Danish,wife,Person/Thing,NA
hustru,StandardOrth,NA,NA,Danish,wife,Person/Thing,NA
hustru,StandardOrth,NA,NA,Swedish,wife,Person/Thing,NA
maka,StandardOrth,NA,NA,Swedish,wife,Person/Thing,NA
fru,StandardOrth,NA,NA,Swedish,wife,Person/Thing,NA
wife,StandardOrth,NA,NA,English,wife,Person/Thing,NA
vrouw,StandardOrth,NA,NA,Dutch,wife,Person/Thing,NA
echtgenote,StandardOrth,NA,NA,Dutch,wife,Person/Thing,NA
gade,StandardOrth,NA,NA,Dutch,wife,Person/Thing,NA
Frau,StandardOrth,NA,Original (M. R. Key),German,wife,Person/Thing,FALSE
Ehefrau,StandardOrth,NA,Original (M. R. Key),German,wife,Person/Thing,FALSE
Gattin,StandardOrth,NA,Original (M. R. Key),German,wife,Person/Thing,FALSE
Gemahlin,StandardOrth,NA,Original (M. R. Key),German,wife,Person/Thing,FALSE
żona,StandardOrth,NA,NA,Polish,wife,Person/Thing,NA
małżonka,StandardOrth,NA,NA,Polish,wife,Person/Thing,NA
мой,CyrillTrans,NA,NA,Ossetic,husband,Person/Thing,NA
лæг (супруг),CyrillTrans,NA,NA,Ossetic,husband,Person/Thing,NA
marito,StandardOrth,NA,NA,Italian,husband,Person/Thing,NA
mari,StandardOrth,NA,NA,French,husband,Person/Thing,NA
époux,StandardOrth,NA,NA,French,husband,Person/Thing,NA
marit,StandardOrth,NA,NA,Catalan,husband,Person/Thing,NA
espòs,StandardOrth,NA,NA,Catalan,husband,Person/Thing,NA
marido,StandardOrth,NA,NA,Portuguese,husband,Person/Thing,NA
soţ,StandardOrth,NA,NA,Romanian,husband,Person/Thing,NA
mand,StandardOrth,NA,NA,Danish,husband,Person/Thing,NA
ægtemand,StandardOrth,NA,NA,Danish,husband,Person/Thing,NA
man,StandardOrth,NA,NA,Swedish,husband,Person/Thing,NA
äkta man,StandardOrth,NA,NA,Swedish,husband,Person/Thing,NA
make,StandardOrth,NA,NA,Swedish,husband,Person/Thing,NA
husband,StandardOrth,NA,NA,English,husband,Person/Thing,NA
man,StandardOrth,NA,NA,Dutch,husband,Person/Thing,NA
echtgenoot,StandardOrth,NA,NA,Dutch,husband,Person/Thing,NA
gade,StandardOrth,NA,NA,Dutch,husband,Person/Thing,NA
Mann,StandardOrth,NA,Original (M. R. Key),German,husband,Person/Thing,FALSE
Ehemann,StandardOrth,NA,Original (M. R. Key),German,husband,Person/Thing,FALSE
Gatte,StandardOrth,NA,Original (M. R. Key),German,husband,Person/Thing,FALSE
Gemahl,StandardOrth,NA,Original (M. R. Key),German,husband,Person/Thing,FALSE
mąż,StandardOrth,NA,NA,Polish,husband,Person/Thing,NA
małżonek,StandardOrth,NA,NA,Polish,husband,Person/Thing,NA
дзидзидай (грудной),CyrillTrans,NA,NA,Ossetic,"infant, baby",Person/Thing,NA
саби,CyrillTrans,NA,NA,Ossetic,"infant, baby",Person/Thing,NA
сывæллон,CyrillTrans,NA,NA,Ossetic,"infant, baby",Person/Thing,NA
bimbo,StandardOrth,NA,NA,Italian,"infant, baby",Person/Thing,NA
enfant,StandardOrth,NA,NA,French,"infant, baby",Person/Thing,NA
bébé,StandardOrth,NA,NA,French,"infant, baby",Person/Thing,NA
nen,StandardOrth,NA,NA,Catalan,"infant, baby",Person/Thing,NA
bebè,StandardOrth,NA,NA,Catalan,"infant, baby",Person/Thing,NA
infant,StandardOrth,NA,NA,Catalan,"infant, baby",Person/Thing,NA
bebê,StandardOrth,NA,NA,Portuguese,"infant, baby",Person/Thing,NA
nenê,StandardOrth,NA,NA,Portuguese,"infant, baby",Person/Thing,NA
copilaş,StandardOrth,NA,NA,Romanian,"infant, baby",Person/Thing,NA
prunc,StandardOrth,NA,NA,Romanian,"infant, baby",Person/Thing,NA
spædbarn,StandardOrth,NA,NA,Danish,"infant, baby",Person/Thing,NA
späd-barn,StandardOrth,NA,NA,Swedish,"infant, baby",Person/Thing,NA
baby,StandardOrth,NA,NA,Swedish,"infant, baby",Person/Thing,NA
infant,StandardOrth,NA,NA,English,"infant, baby",Person/Thing,NA
baby,StandardOrth,NA,NA,English,"infant, baby",Person/Thing,NA
kind,StandardOrth,NA,NA,Dutch,"infant, baby",Person/Thing,NA
baby,StandardOrth,NA,NA,Dutch,"infant, baby",Person/Thing,NA
Säugling,StandardOrth,NA,Original (M. R. Key),German,"infant, baby",Person/Thing,FALSE
Baby,StandardOrth,NA,Original (M. R. Key),German,"infant, baby",Person/Thing,FALSE
dzieciątko,StandardOrth,NA,NA,Polish,"infant, baby",Person/Thing,NA
niemowlę,StandardOrth,NA,NA,Polish,"infant, baby",Person/Thing,NA
сывæллон,CyrillTrans,NA,NA,Ossetic,child,Person/Thing,NA
саби,CyrillTrans,NA,NA,Ossetic,child,Person/Thing,NA
bambino,StandardOrth,NA,NA,Italian,child,Person/Thing,NA
enfant,StandardOrth,NA,NA,French,child,Person/Thing,NA
nen,StandardOrth,NA,NA,Catalan,child,Person/Thing,NA
criança,StandardOrth,NA,NA,Portuguese,child,Person/Thing,NA
menino,StandardOrth,NA,NA,Portuguese,child,Person/Thing,NA
copil,StandardOrth,NA,NA,Romanian,child,Person/Thing,NA
barn,StandardOrth,NA,NA,Danish,child,Person/Thing,NA
barn,StandardOrth,NA,NA,Swedish,child,Person/Thing,NA
child,StandardOrth,NA,NA,English,child,Person/Thing,NA
kind,StandardOrth,NA,NA,Dutch,child,Person/Thing,NA
Kind,StandardOrth,NA,Original (M. R. Key),German,child,Person/Thing,FALSE
dziecko,StandardOrth,NA,NA,Polish,child,Person/Thing,NA
dziecię,StandardOrth,NA,NA,Polish,child,Person/Thing,NA
dzieciątko,StandardOrth,NA,NA,Polish,child,Person/Thing,NA
чызг,CyrillTrans,NA,NA,Ossetic,young woman (adolescent),Person/Thing,NA
чындздзон чызг,CyrillTrans,NA,NA,Ossetic,young woman (adolescent),Person/Thing,NA
giovinetta,StandardOrth,NA,NA,Italian,young woman (adolescent),Person/Thing,NA
jeune fille,StandardOrth,NA,NA,French,young woman (adolescent),Person/Thing,NA
noia jove,StandardOrth,NA,NA,Catalan,young woman (adolescent),Person/Thing,NA
adolescent,StandardOrth,NA,NA,Catalan,young woman (adolescent),Person/Thing,NA
jovem,StandardOrth,NA,NA,Portuguese,young woman (adolescent),Person/Thing,NA
moça,StandardOrth,NA,NA,Portuguese,young woman (adolescent),Person/Thing,NA
ung kvinde,StandardOrth,NA,NA,Danish,young woman (adolescent),Person/Thing,NA
ung flicka,StandardOrth,NA,NA,Swedish,young woman (adolescent),Person/Thing,NA
ung-dom,StandardOrth,NA,NA,Swedish,young woman (adolescent),Person/Thing,NA
young woman,StandardOrth,NA,NA,English,young woman (adolescent),Person/Thing,NA
jonge vrouw,StandardOrth,NA,NA,Dutch,young woman (adolescent),Person/Thing,NA
Mädchen,StandardOrth,NA,Original (M. R. Key),German,young woman (adolescent),Person/Thing,FALSE
panna,StandardOrth,NA,NA,Polish,young woman (adolescent),Person/Thing,NA
panienka,StandardOrth,NA,NA,Polish,young woman (adolescent),Person/Thing,NA
чызг,CyrillTrans,NA,NA,Ossetic,girl,Person/Thing,NA
ragazza,StandardOrth,NA,NA,Italian,girl,Person/Thing,NA
fille,StandardOrth,NA,NA,French,girl,Person/Thing,NA
noia,StandardOrth,NA,NA,Catalan,girl,Person/Thing,NA
menina,StandardOrth,NA,NA,Portuguese,girl,Person/Thing,NA
garota,StandardOrth,NA,NA,Portuguese,girl,Person/Thing,NA
fată,StandardOrth,NA,NA,Romanian,girl,Person/Thing,NA
pige,StandardOrth,NA,NA,Danish,girl,Person/Thing,NA
flicka,StandardOrth,NA,NA,Swedish,girl,Person/Thing,NA
(tjej),StandardOrth,NA,NA,Swedish,girl,Person/Thing,NA
girl,StandardOrth,NA,NA,English,girl,Person/Thing,NA
meisje,StandardOrth,NA,NA,Dutch,girl,Person/Thing,NA
Mädchen,StandardOrth,NA,Original (M. R. Key),German,girl,Person/Thing,FALSE
dziewczyna,StandardOrth,NA,NA,Polish,girl,Person/Thing,NA
dziewczynka,StandardOrth,NA,NA,Polish,girl,Person/Thing,NA
тырын,CyrillTrans,NA,NA,Ossetic,young man (adolescent),Person/Thing,NA
æрыгон,CyrillTrans,NA,NA,Ossetic,young man (adolescent),Person/Thing,NA
æвзонг лæппу,CyrillTrans,NA,NA,Ossetic,young man (adolescent),Person/Thing,NA
giovanotto/,StandardOrth,NA,NA,Italian,young man (adolescent),Person/Thing,NA
jeune homme,StandardOrth,NA,NA,French,young man (adolescent),Person/Thing,NA
noi jove,StandardOrth,NA,NA,Catalan,young man (adolescent),Person/Thing,NA
adolescent,StandardOrth,NA,NA,Catalan,young man (adolescent),Person/Thing,NA
jovem,StandardOrth,NA,NA,Portuguese,young man (adolescent),Person/Thing,NA
rapaz,StandardOrth,NA,NA,Portuguese,young man (adolescent),Person/Thing,NA
ung mand,StandardOrth,NA,NA,Danish,young man (adolescent),Person/Thing,NA
ung man,StandardOrth,NA,NA,Swedish,young man (adolescent),Person/Thing,NA
ung-dom,StandardOrth,NA,NA,Swedish,young man (adolescent),Person/Thing,NA
young man,StandardOrth,NA,NA,English,young man (adolescent),Person/Thing,NA
jongeman,StandardOrth,NA,NA,Dutch,young man (adolescent),Person/Thing,NA
Junge,StandardOrth,NA,Original (M. R. Key),German,young man (adolescent),Person/Thing,FALSE
junger Mann,StandardOrth,NA,Original (M. R. Key),German,young man (adolescent),Person/Thing,FALSE
Jüngling,StandardOrth,NA,Original (M. R. Key),German,young man (adolescent),Person/Thing,FALSE
młodzieniec,StandardOrth,NA,NA,Polish,young man (adolescent),Person/Thing,NA
młodzian,StandardOrth,NA,NA,Polish,young man (adolescent),Person/Thing,NA
лæппу,CyrillTrans,NA,NA,Ossetic,boy,Person/Thing,NA
ragazzo,StandardOrth,NA,NA,Italian,boy,Person/Thing,NA
garçon,StandardOrth,NA,NA,French,boy,Person/Thing,NA
noi,StandardOrth,NA,NA,Catalan,boy,Person/Thing,NA
nano,StandardOrth,NA,NA,Catalan,boy,Person/Thing,NA
menino,StandardOrth,NA,NA,Portuguese,boy,Person/Thing,NA
garoto,StandardOrth,NA,NA,Portuguese,boy,Person/Thing,NA
băiat,StandardOrth,NA,NA,Romanian,boy,Person/Thing,NA
(făt),StandardOrth,NA,NA,Romanian,boy,Person/Thing,NA
dreng,StandardOrth,NA,NA,Danish,boy,Person/Thing,NA
gosse,StandardOrth,NA,NA,Swedish,boy,Person/Thing,NA
pojke,StandardOrth,NA,NA,Swedish,boy,Person/Thing,NA
boy,StandardOrth,NA,NA,English,boy,Person/Thing,NA
knaap,StandardOrth,NA,NA,Dutch,boy,Person/Thing,NA
Junge,StandardOrth,NA,Original (M. R. Key),German,boy,Person/Thing,FALSE
Knabe,StandardOrth,NA,Original (M. R. Key),German,boy,Person/Thing,FALSE
chłopiec,StandardOrth,NA,NA,Polish,boy,Person/Thing,NA
chłopak,StandardOrth,NA,NA,Polish,boy,Person/Thing,NA
chłopię,StandardOrth,NA,NA,Polish,boy,Person/Thing,NA
сыл,CyrillTrans,NA,NA,Ossetic,female,Property,NA
мадæл,CyrillTrans,NA,NA,Ossetic,female,Property,NA
femmina,StandardOrth,NA,NA,Italian,female,Property,NA
femelle,StandardOrth,NA,NA,French,female,Property,NA
femella,StandardOrth,NA,NA,Catalan,female,Property,NA
fêmea,StandardOrth,NA,NA,Portuguese,female,Property,NA
femeiesc,StandardOrth,NA,NA,Romanian,female,Property,NA
kvindelig,StandardOrth,NA,NA,Danish,female,Property,NA
kvinnlig,StandardOrth,NA,NA,Swedish,female,Property,NA
female,StandardOrth,NA,NA,English,female,Property,NA
vrouwelijk,StandardOrth,NA,NA,Dutch,female,Property,NA
weiblich,StandardOrth,NA,Original (M. R. Key),German,female,Property,FALSE
żeński,StandardOrth,NA,NA,Polish,female,Property,NA
нæл,CyrillTrans,NA,NA,Ossetic,male,Property,NA
maschio,StandardOrth,NA,NA,Italian,male,Property,NA
mâle,StandardOrth,NA,NA,French,male,Property,NA
mascle,StandardOrth,NA,NA,Catalan,male,Property,NA
macho,StandardOrth,NA,NA,Portuguese,male,Property,NA
bărbătesc,StandardOrth,NA,NA,Romanian,male,Property,NA
mandlig,StandardOrth,NA,NA,Danish,male,Property,NA
manlig,StandardOrth,NA,NA,Swedish,male,Property,NA
male,StandardOrth,NA,NA,English,male,Property,NA
mannelijk,StandardOrth,NA,NA,Dutch,male,Property,NA
männlich,StandardOrth,NA,Original (M. R. Key),German,male,Property,FALSE
męski,StandardOrth,NA,NA,Polish,male,Property,NA
ус,CyrillTrans,NA,NA,Ossetic,woman,Person/Thing,NA
сылгоймаг,CyrillTrans,NA,NA,Ossetic,woman,Person/Thing,NA
femmina,StandardOrth,NA,NA,Italian,woman,Person/Thing,NA
donna,StandardOrth,NA,NA,Italian,woman,Person/Thing,NA
femme,StandardOrth,NA,NA,French,woman,Person/Thing,NA
dona,StandardOrth,NA,NA,Catalan,woman,Person/Thing,NA
mulher,StandardOrth,NA,NA,Portuguese,woman,Person/Thing,NA
femeie,StandardOrth,NA,NA,Romanian,woman,Person/Thing,NA
kvinde,StandardOrth,NA,NA,Danish,woman,Person/Thing,NA
kvinna,StandardOrth,NA,NA,Swedish,woman,Person/Thing,NA
woman,StandardOrth,NA,NA,English,woman,Person/Thing,NA
vrouw,StandardOrth,NA,NA,Dutch,woman,Person/Thing,NA
Frau,StandardOrth,NA,Original (M. R. Key),German,woman,Person/Thing,FALSE
Weib,StandardOrth,NA,Original (M. R. Key),German,woman,Person/Thing,FALSE
kobieta,StandardOrth,NA,NA,Polish,woman,Person/Thing,NA
лæг,CyrillTrans,NA,NA,Ossetic,man (vs. woman),Person/Thing,NA
нæлгоймаг,CyrillTrans,NA,NA,Ossetic,man (vs. woman),Person/Thing,NA
uomo,StandardOrth,NA,NA,Italian,man (vs. woman),Person/Thing,NA
homme,StandardOrth,NA,NA,French,man (vs. woman),Person/Thing,NA
home,StandardOrth,NA,NA,Catalan,man (vs. woman),Person/Thing,NA
homem,StandardOrth,NA,NA,Portuguese,man (vs. woman),Person/Thing,NA
bărbat,StandardOrth,NA,NA,Romanian,man (vs. woman),Person/Thing,NA
om,StandardOrth,NA,NA,Romanian,man (vs. woman),Person/Thing,NA
mand,StandardOrth,NA,NA,Danish,man (vs. woman),Person/Thing,NA
man,StandardOrth,NA,NA,Swedish,man (vs. woman),Person/Thing,NA
man,StandardOrth,NA,NA,English,man (vs. woman),Person/Thing,NA
man,StandardOrth,NA,NA,Dutch,man (vs. woman),Person/Thing,NA
Mann,StandardOrth,NA,Original (M. R. Key),German,man (vs. woman),Person/Thing,FALSE
mąż,StandardOrth,NA,NA,Polish,man (vs. woman),Person/Thing,NA
mężczyzna,StandardOrth,NA,NA,Polish,man (vs. woman),Person/Thing,NA
адæймаг,CyrillTrans,NA,NA,Ossetic,"person, human being",Person/Thing,NA
