Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon,phon,method
slow,StandardOrth,NA,NA,English,slow,Property,NA,slowˈ,cmu.in.ipa
langzaam,StandardOrth,NA,NA,Dutch,slow,Property,NA,lɑnxzaːm,epitran
langsam,StandardOrth,NA,Original (M. R. Key),German,slow,Property,FALSE,laŋksam,epitran
lēns,StandardOrth,NA,NA,Latvian,slow,Property,NA,lens,multilingual-g2p
zdlouhavý,StandardOrth,NA,NA,Czech,slow,Property,NA,zdloʊhavi,multilingual-g2p
powolny,StandardOrth,NA,NA,Polish,slow,Property,NA,pɔvɔlnɨ,epitran
тагъд,CyrillTrans,NA,NA,Ossetic,"swift, fast, quick",Property,NA,taʁd,
цырд,CyrillTrans,NA,NA,Ossetic,"swift, fast, quick",Property,NA,t͡sɨrd,
'ɣriɣoros,LatinTrans,NA,NA,Modern Greek,"swift, fast, quick",Property,NA,ɡaməɡaməɑɹaɪɡaməəʊɑɹəʊɛs,multilingual-g2p
rapido,StandardOrth,NA,NA,Italian,"swift, fast, quick",Property,NA,rapido,epitran
vite,StandardOrth,NA,NA,French,"swift, fast, quick",Property,NA,vi,epitran
rapide,StandardOrth,NA,NA,French,"swift, fast, quick",Property,NA,rapi,epitran
ràpid,StandardOrth,NA,NA,Catalan,"swift, fast, quick",Property,NA,ɾapid,epitran
rápido,StandardOrth,NA,NA,Portuguese,"swift, fast, quick",Property,NA,ʁapido,epitran
ligeiro,StandardOrth,NA,NA,Portuguese,"swift, fast, quick",Property,NA,liʒɛjɾo,epitran
repede,StandardOrth,NA,NA,Romanian,"swift, fast, quick",Property,NA,repede,epitran
iute,StandardOrth,NA,NA,Romanian,"swift, fast, quick",Property,NA,iute,epitran
hurtig,StandardOrth,NA,NA,Danish,"swift, fast, quick",Property,NA,,
snabb,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA,snɐb,epitran
snabbt,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA,snɐbt,epitran
snar,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA,snɑːr,epitran
rask,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA,rɐɧ,epitran
fort,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA,fɔrt,epitran
swift,StandardOrth,NA,NA,English,"swift, fast, quick",Property,NA,swɪˈft,cmu.in.ipa
fast,StandardOrth,NA,NA,English,"swift, fast, quick",Property,NA,fæˈst,cmu.in.ipa
quick,StandardOrth,NA,NA,English,"swift, fast, quick",Property,NA,kwɪˈk,cmu.in.ipa
vlug,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA,vlʏx,epitran
snel,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA,snɛl,epitran
gauw,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA,ɣaw,epitran
