language,ontological.category,marker,n,position
Cayapa,Action,eenu,18,Suffix
Cayapa,Action,ekenu,6,Suffix
Cayapa,Action,ikenu,11,Suffix
Cayapa,Action,inu,68,Suffix
Cayapa,Action,kenu,29,Suffix
Cayapa,Action,nu,85,Suffix
Cayapa,Action,unu,28,Suffix
Cayapa,Action,#,398,Prefix
Cayapa,Thing,#,119,Suffix
Cayapa,Thing,a,303,Suffix
Cayapa,Thing,aki,9,Suffix
Cayapa,Thing,ali,12,Suffix
Cayapa,Thing,ele,11,Suffix
Cayapa,Thing,pe,20,Suffix
Cayapa,Thing,u,260,Suffix
Cayapa,Thing,#,734,Prefix
Cayuvava,Action,#,204,Suffix
Cayuvava,Action,a,55,Suffix
Cayuvava,Action,e,47,Suffix
Cayuvava,Action,#,306,Prefix
Cayuvava,Thing,#,70,Suffix
Cayuvava,Thing,ɨ,33,Suffix
Cayuvava,Thing,a,101,Suffix
Cayuvava,Thing,æ,41,Suffix
Cayuvava,Thing,e,108,Suffix
Cayuvava,Thing,i,58,Suffix
Cayuvava,Thing,ĩ,1,Suffix
Cayuvava,Thing,o,54,Suffix
Cayuvava,Thing,#,466,Prefix
Central Thai,Action,#,276,Suffix
Central Thai,Action,n,75,Suffix
Central Thai,Action,t,54,Suffix
Central Thai,Action,#,357,Prefix
Central Thai,Action,kh,48,Prefix
Central Thai,Thing,#,681,Suffix
Central Thai,Thing,n,140,Suffix
Central Thai,Thing,#,534,Prefix
Central Thai,Thing,kh,98,Prefix
Central Thai,Thing,m,53,Prefix
Central Thai,Thing,ph,66,Prefix
Central Thai,Thing,s,70,Prefix
Chácobo,Action,#,40,Suffix
Chácobo,Action,a,132,Suffix
Chácobo,Action,i,46,Suffix
Chácobo,Action,is,6,Suffix
Chácobo,Action,o,50,Suffix
Chácobo,Action,#,274,Prefix
Chácobo,Thing,#,43,Suffix
Chácobo,Thing,ɨnɨ,7,Suffix
Chácobo,Thing,a,154,Suffix
Chácobo,Thing,anɨ,6,Suffix
Chácobo,Thing,i,171,Suffix
Chácobo,Thing,o,103,Suffix
Chácobo,Thing,#,484,Prefix
Chadong,Action,#,223,Suffix
Chadong,Action,n,46,Suffix
Chadong,Action,#,269,Prefix
Chadong,Thing,#,452,Suffix
Chadong,Thing,n,118,Suffix
Chadong,Thing,#,382,Prefix
Chadong,Thing,l,50,Prefix
Chadong,Thing,p,40,Prefix
Chadong,Thing,sh,26,Prefix
Chadong,Thing,t,72,Prefix
Chamalal,Action,#,15,Suffix
Chamalal,Action,a,5,Suffix
Chamalal,Action,āla,85,Suffix
Chamalal,Action,ala,3,Suffix
Chamalal,Action,āna,32,Suffix
Chamalal,Action,ana,1,Suffix
Chamalal,Action,bixde,2,Suffix
Chamalal,Action,de,1,Suffix
Chamalal,Action,īla,51,Suffix
Chamalal,Action,la,186,Suffix
Chamalal,Action,na,46,Suffix
Chamalal,Action,#,427,Prefix
Chamalal,Thing,#,610,Suffix
Chamalal,Thing,a,258,Suffix
Chamalal,Thing,ā,4,Suffix
Chamalal,Thing,#,872,Prefix
Chatino (Zacatepec variety),Action,#,316,Suffix
Chatino (Zacatepec variety),Action,#,238,Prefix
Chatino (Zacatepec variety),Action,ki,18,Prefix
Chatino (Zacatepec variety),Action,kī,4,Prefix
Chatino (Zacatepec variety),Action,š,56,Prefix
Chatino (Zacatepec variety),Thing,#,641,Suffix
Chatino (Zacatepec variety),Thing,#,554,Prefix
Chatino (Zacatepec variety),Thing,čkã,18,Prefix
Chatino (Zacatepec variety),Thing,n,69,Prefix
Chechen,Action,#,41,Suffix
Chechen,Action,a,278,Suffix
Chechen,Action,ā,1,Suffix
Chechen,Action,dan,43,Suffix
Chechen,Action,dān,4,Suffix
Chechen,Action,o,45,Suffix
Chechen,Action,ō,6,Suffix
Chechen,Action,yan,14,Suffix
Chechen,Action,#,432,Prefix
Chechen,Thing,#,549,Suffix
Chechen,Thing,a,242,Suffix
Chechen,Thing,ā,2,Suffix
Chechen,Thing,ar,75,Suffix
Chechen,Thing,ār,2,Suffix
Chechen,Thing,#,870,Prefix
Chipaya,Action,#,114,Suffix
Chipaya,Action,s,19,Suffix
Chipaya,Action,š,156,Suffix
Chipaya,Action,#,289,Prefix
Chipaya,Thing,#,62,Suffix
Chipaya,Thing,a,167,Suffix
Chipaya,Thing,i,113,Suffix
Chipaya,Thing,š,48,Suffix
Chipaya,Thing,u,42,Suffix
Chipaya,Thing,#,432,Prefix
Chiriguano,Action,#,78,Suffix
Chiriguano,Action,ɨ,46,Suffix
Chiriguano,Action,a,93,Suffix
Chiriguano,Action,i,44,Suffix
Chiriguano,Action,o,46,Suffix
Chiriguano,Action,#,307,Prefix
Chiriguano,Thing,#,53,Suffix
Chiriguano,Thing,ɨ,107,Suffix
Chiriguano,Thing,a,265,Suffix
Chiriguano,Thing,e,98,Suffix
