49A Number of Cases,98A Alignment of Case Marking of Full Noun Phrases,22A Inflectional Synthesis of the Verb,122A Relativization on Subjects,28A Case Syncretism,128A Utterance Complement Clauses,29A Syncretism in Verbal Person/Number Marking,129A Hand and Arm,102A Verbal Person Marking,48A Person Marking on Adpositions,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,34A Occurrence of Nominal Plurality,134A Green and Blue,36A The Associative Plural,136A M-T Pronouns,136B M in First Person Singular,92A Position of Polar Question Particles,65A Perfective/Imperfective Aspect,70A The Morphological Imperative,57A Position of Pronominal Possessive Affixes,59A Possessive Classification,73A The Optative,41A Distance Contrasts in Demonstratives,141A Writing Systems
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 2 cases,2 Nominative - accusative (standard),3 4-5 categories per word,4 Gap,1 No case marking,1 Balanced,3 Not syncretic,NA,5 Both the A and P arguments,3 Pronouns only,2 Verbal constructions,3 Other,2 Overlap for either possibility or necessity,3 Direct and indirect,NA,NA,3 Unique periphrastic associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,1 Initial,1 Grammatical marking,2 Second singular,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 10 or more cases,6 Active-inactive,3 4-5 categories per word,4 Gap,2 Core cases only,1 Balanced,3 Not syncretic,2 Different,5 Both the A and P arguments,2 No person marking,1 Affixes on verbs,2 Affixes on verbs,1 Overlap for both possibility and necessity,2 Indirect only,"6 All nouns, always obligatory",NA,3 Unique periphrastic associative plural,1 No M-T pronouns,1 No m in first person singular,4 Other position,1 Grammatical marking,1 Second singular and second plural,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,3 Three-way contrast,NA
1 No morphological case-marking,1 Neutral,4 6-7 categories per word,4 Gap,4 No syncretism,NA,1 No subject person/number marking,1 Identical,1 No person marking,3 Pronouns only,2 Verbal constructions,1 Verbal constructions,2 Overlap for either possibility or necessity,1 No grammatical evidentials,"6 All nouns, always obligatory",NA,3 Unique periphrastic associative plural,1 No M-T pronouns,1 No m in first person singular,2 Final,2 No grammatical marking,2 Second singular,2 Possessive suffixes,1 No possessive classification,2 Inflectional optative absent,4 Four-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
