Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
abocar,StandardOrth,pour,Catalan,verb,Indo-European,NA,NA,NA,abɔkaɾ,NA,Action,FALSE
vessar,StandardOrth,pour,Catalan,verb,Indo-European,NA,NA,NA,bɛsaɾ,NA,Action,FALSE
esprémer,StandardOrth,"squeeze, wring",Catalan,verb,Indo-European,NA,NA,NA,ɛspɾemɛɾ,NA,Action,FALSE
apretar,StandardOrth,press,Catalan,verb,Indo-European,NA,NA,NA,apɾɛtaɾ,NA,Action,FALSE
penjar,StandardOrth,hang up,Catalan,verb,Indo-European,NA,NA,NA,pɛnʒaɾ,NA,Action,FALSE
estendre,StandardOrth,spread out,Catalan,verb,Indo-European,NA,NA,NA,ɛstɛndɾɛ,NA,Action,FALSE
allargar,StandardOrth,stretch,Catalan,verb,Indo-European,NA,NA,NA,aʎaɾɡaɾ,NA,Action,FALSE
estirar,StandardOrth,stretch,Catalan,verb,Indo-European,NA,NA,NA,ɛstiɾaɾ,NA,Action,FALSE
fregar,StandardOrth,"rub, wipe",Catalan,verb,Indo-European,NA,NA,NA,fɾɛɡaɾ,NA,Action,FALSE
eixugar,StandardOrth,"rub, wipe",Catalan,verb,Indo-European,NA,NA,NA,ɛʒʃuɡaɾ,NA,Action,FALSE
escorxar,StandardOrth,"flay, skin",Catalan,verb,Indo-European,NA,NA,NA,ɛskɔɾʃaɾ,NA,Action,FALSE
estripar,StandardOrth,tear,Catalan,verb,Indo-European,NA,NA,NA,ɛstɾipaɾ,NA,Action,FALSE
partir,StandardOrth,split,Catalan,verb,Indo-European,NA,NA,NA,paɾtiɾ,NA,Action,FALSE
trencar,StandardOrth,break,Catalan,verb,Indo-European,NA,NA,NA,tɾɛŋkaɾ,NA,Action,FALSE
apunyalar,StandardOrth,stab,Catalan,verb,Indo-European,NA,NA,NA,apuɲalaɾ,NA,Action,FALSE
tallar,StandardOrth,"chop, hew",Catalan,verb,Indo-European,NA,NA,NA,taʎaɾ,NA,Action,FALSE
podar,StandardOrth,"chop, hew",Catalan,verb,Indo-European,NA,NA,NA,pɔdaɾ,NA,Action,FALSE
talar,StandardOrth,cut down,Catalan,verb,Indo-European,NA,NA,NA,talaɾ,NA,Action,FALSE
rebatre,StandardOrth,cut down,Catalan,verb,Indo-European,NA,NA,NA,ɾɛbatɾɛ,NA,Action,FALSE
deslligar,StandardOrth,untie,Catalan,verb,Indo-European,NA,NA,NA,dɛsʎtʃaɾ,NA,Action,FALSE
lligar,StandardOrth,"tie, bind",Catalan,verb,Indo-European,NA,NA,NA,ʎtʃaɾ,NA,Action,FALSE
