word,language,AoA,rank,included,form
spoon,Italian,2.52,28,TRUE,cucchiaio
cry,Italian,2.54,29,TRUE,piangere
wave,Italian,2.54,30,FALSE,NA
ear,Italian,2.56,31,TRUE,orecchio
fall,Italian,2.58,32,TRUE,cadere
sit,Italian,2.58,33,TRUE,sedersi
fish,Italian,2.6,34,TRUE,pesce
open,Italian,2.63,35,TRUE,aprire
banana,Italian,2.64,36,FALSE,NA
bird,Italian,2.64,37,TRUE,uccello
carrot,Italian,2.68,38,FALSE,NA
Hen,Italian,2.68,39,TRUE,gallina
draw,Italian,2.71,40,FALSE,NA
moon,Italian,2.72,41,TRUE,luna
hat,Italian,2.76,42,FALSE,NA
rabbit,Italian,2.76,43,TRUE,coniglio
slide,Italian,2.76,44,FALSE,NA
tomato,Italian,2.76,45,FALSE,NA
bath,Italian,2.79,46,FALSE,NA
run,Italian,2.79,47,TRUE,correre
balloon,Italian,2.8,48,FALSE,NA
car,Italian,2.8,49,FALSE,NA
strawberry,Italian,2.8,50,FALSE,NA
trousers,Italian,2.8,51,TRUE,pantaloni
cow,Italian,2.83,52,TRUE,mucca
rain,Italian,2.83,53,FALSE,NA
sing,Italian,2.83,54,TRUE,cantare
bottle,Italian,2.84,55,FALSE,NA
horse,Italian,2.84,56,TRUE,cavallo
leaf,Italian,2.84,57,TRUE,foglia
lion,Italian,2.84,58,TRUE,leone
mouse,Italian,2.88,59,FALSE,NA
star,Italian,2.88,60,TRUE,stella
jump,Italian,2.88,61,TRUE,saltare
wake up,Italian,2.88,62,TRUE,svegliarse
cloud,Italian,2.92,63,TRUE,nuvola
orange,Italian,2.92,64,FALSE,NA
cheese,Italian,2.96,65,TRUE,formaggio
fork,Italian,2.96,66,TRUE,forchetta
frog,Italian,2.96,67,TRUE,rana
monkey,Italian,2.96,68,TRUE,scimmia
sandwich,Italian,2.96,69,FALSE,NA
